Name,Category,Subcategory,URL,Description,Image
2000 Horizons,Design,Commerce,https://www.parkdeanresorts.co.uk/2000-horizons/,A holiday web site based around the horizon,http://tomsmith.webfactional.com/notes/2000_Horizons___UK_Coastline_Photography___Park_Resorts_2292EB92.png
World Draw,3D,Art,https://world-draw.appspot.com/draw,Strange site where you populate a world with your doodles,http://tomsmith.webfactional.com/notes/World_Draw_🔊_2295378E.png
Coldspotting AR,AR,iOS,https://www.youtube.com/watch?time_continue=26&v=ScU_M8jdUCw,Video of leaving trails of wifi strength in AR.,http://tomsmith.webfactional.com/notes/ColdSpotting_2_0_-_Visualize_Networks_in_Augmented_Reality_-_YouTube_229D6AE3.png
Wish.com,Commerce,Prompt,https://www.wish.com/,A Chinese shopping site of bizarre objects and knock-off products. Choose two items and make a work of art from them.,http://tomsmith.webfactional.com/notes/Wish_-_Shopping_Made_Fun_229D7E6E.png
Palimpsest,Image,Writing,https://www.pinterest.co.uk/philipbad/palimpsest/,"In textual studies, a palimpsest is a manuscript page, either from a scroll or a book, from which the text has been scraped or washed off so that the page can be reused for another document.",http://tomsmith.webfactional.com/notes/Background_and__144__Pinterest_229D8357.png
Made With Twine,Writing,Coding,https://itch.io/games/made-with-twine,Interactive narrative games made with Twine. Go play with these then make your own.,http://tomsmith.webfactional.com/notes/Top_games_made_with_Twine_-_itch_io_229DB519.png
Georgia Lupi,Visualisation,Data,https://www.google.com/search?q=Giorgia+Lupi&rlz=1C5CHFA_enGB797GB797&source=lnms&tbm=isch&sa=X&ved=0ahUKEwjWmO-Chb_iAhWqRxUIHVqBAe0Q_AUIECgD&biw=1174&bih=615,What an inspirational visualisation designer. Go find out more about here work.,http://tomsmith.webfactional.com/notes/Giorgia_Lupi_-_Google_Search_229DCE71.png
Kinetic Typography Examples,Fonts ,Animation,https://biteable.com/blog/inspiration/kinetic-typography-examples-templates/,,http://tomsmith.webfactional.com/notes/Kinetic_Typography__Examples___Templates___Biteable_229E8F99.png
MusicMap,Visualisation,Audio,https://musicmap.info/,Explore music genres,http://tomsmith.webfactional.com/notes/Musicmap___The_Genealogy_and_History_of_Popular_Music_Genres_229FF1CD.png
RadioGarden,Audio,Radio,https://radio.garden/listen/radio-aire/G8lKBpBt,Listen to radio from around the world,http://tomsmith.webfactional.com/notes/Radio_Garden_–_Radio_Aire_🔊_229FF29C.png
EveryNoise,Audio,Visualisation,http://everynoise.com/,Discover a new music genre you didn't know you like.,http://tomsmith.webfactional.com/notes/Every_Noise_at_Once_229FF339.png
Macro Invertebrates,Nature,Ecology,http://www.macroinvertebrates.org,See bugs up close. Amazing,http://tomsmith.webfactional.com/notes/Genus_Ephemeroptera_Baetidae_Baetis_229FF811.png
