Name,Category,Subcategory,URL,Description,Image,Ability,My Ranking
Janvas ,Image,Vector,https://www.janvas.com/,Diagram editor,http://tomsmith.webfactional.com/notes/https___www_janvas_com_v6_1_janvas_app_6_1_public_index_html_229B20AD.png,,
Vecta,Image,Vector,https://vecta.io/,Diagram and SVG editor,http://tomsmith.webfactional.com/notes/Untitled_drawing_-_Vecta_229B2398.png,,
Figma,Image,Vector,https://www.figma.com,Fabulous vector drawing and prototyping tool,http://tomsmith.webfactional.com/notes/Recent_Files_–_Figma_229D24C3.png,,
Vecteezy,Image,Vector,https://www.vecteezy.com/,"Fabulous, easy to use vector drawing tool",http://tomsmith.webfactional.com/notes/Download_Free_Vectors__Clip_Art_Designs__Vector_Images___Icons_229D277B.png,,
Vocaroo,Audio,Hosting,https://vocaroo.com,Easy way to record or host audio,http://tomsmith.webfactional.com/notes/Vocaroo___Online_voice_recorder_229D29EE.png,,
Awww Board,Image,Whiteboard,https://awwapp.com/,Start drawing with other people on the same whiteboard,http://tomsmith.webfactional.com/notes/AWW_App___Online_Whiteboard_for_Realtime_Visual_Collaboration_229D2BA3.png,,
Route Shuffle,Maps,Physical,http://routeshuffle.glitch.me/,Interesting map tool that generates new routes for your run or walk,http://tomsmith.webfactional.com/notes/Routeshuffle_229D4D87.png,,
Pixel Thoughts,Wellbeing,Toy,http://www.pixelthoughts.co/,What's bothering you? Relax it away...,http://tomsmith.webfactional.com/notes/A_60-second_meditation_tool_to_help_clear_your_mind_229D4E2C.png,,
Dictation,Writing,Speech,https://dictation.io/speech,Easy online dictation. Speech to text,http://tomsmith.webfactional.com/notes/Voice_Notepad_-_Speech_to_Text_with_Google_Speech_Recognition_229D52F2.png,,
Flipsnack,Writing,Zine,https://www.flipsnack.com/,Zine or magazine creation tool,http://tomsmith.webfactional.com/notes/PDF_to_HTML5_page_flip_-_flipbook_software_-_Flipsnack_229D55A0.png,,
Midi City,Audio ,Toy,https://midi.city/,Play some cool sounds with your computer keyboard,http://tomsmith.webfactional.com/notes/midi_city_-_online_synth_instrument_229D5B42.png,,
Bear Audio Tool,Audio,Midi,https://www.bearaudiotool.com/mp3-to-midi,Convert mp3 file to midi,http://tomsmith.webfactional.com/notes/MP3_to_MIDI_--_Bear_Audio_online_tool_229D5D72.png,,
Blockposters,Image,Tool,https://www.blockposters.com,Create PDF posters for printing from your image.,http://tomsmith.webfactional.com/notes/Make_your_own_posters_at_home_for_free__-_Block_Posters_229D3349.png,,
Phrase It,Image,Toy,https://phraseit.net/,Create speech bubbles,http://tomsmith.webfactional.com/notes/phrase_it_229D34D3.png,,
Infogram,Visualisation,Data,https://infogram.com,Quickly adapt infograph templates to fit your data,http://tomsmith.webfactional.com/notes/Background_and_Timeline_Dark_-_Infogram_229D641B.png,,
Datawrapper,Maps,Visualisation,https://app.datawrapper.de/,Quickly create and annotate various types of maps,http://tomsmith.webfactional.com/notes/__Insert_title_here___-_ViJos_-_Annotate___Datawrapper_229D64A9.png,,
Write A Joke,Writing ,Prompt,http://www.writeajoke.com,Not sure I get this but I used it to give me random idioms,http://tomsmith.webfactional.com/notes/Write_a_Joke_229D699C.png,,
A Billion Songs,Writing,Prompt,http://billion.dev.losttech.software:2095/top,Song lyric generator,http://tomsmith.webfactional.com/notes/Top_10_songs_-_Billion_Songs_229D6A48.png,,
Cut Up Machine,Writing,Prompt,http://www.languageisavirus.com/cutupmachine.php#.XO1IH5NKjRY,Enter text and it scrambles it up,http://tomsmith.webfactional.com/notes/Cut-Up_Machine_229D7FD2.png,,
Text Mixing Desk,Writing,Prompt,http://www.lazaruscorporation.co.uk/cutup/text-mixing-desk,Enter text and it scrambles it up,http://tomsmith.webfactional.com/notes/The_Lazarus_Corporation_Text_Mixing_Desk_-_a_Cut-up_Generator_229D809C.png,,
SoundTrap,Audio,Midi,https://www.soundtrap.com,Full audio midi workstation,http://tomsmith.webfactional.com/notes/Tom_s_song__4_-_Soundtrap_229D9035.png,,
Instaudio,Audio,Hosting,https://instaud.io/,Upload your mp3s to share,http://tomsmith.webfactional.com/notes/Instaudio_-_Share_your_audio_quickly_229D92B2.png,,
FreeOnlineOCR,Writing,Image,https://www.newocr.com/,"Upload a picture of text, and get the text out.",http://tomsmith.webfactional.com/notes/Free_Online_OCR_-_Convert_JPEG__PNG__GIF__BMP__TIFF__PDF__DjVu_to_Text_229D9906.png,,
Online OCR,Writing,Image,https://www.onlineocr.net/,"Upload a picture of text, and get the text out.",http://tomsmith.webfactional.com/notes/Free_Online_OCR_-_convert_PDF_to_Word__Images_to_text__JPEG_to_Word_229D995A.png,,
Glitchatron,Image,Glitch,http://www.errozero.co.uk/glitchatron/#,,http://tomsmith.webfactional.com/notes/GLITCHATRON_-_Image_Destroyer_229D9AD9.png,,
JPEG to WAV,Audio,Glitch,https://azopcorp.com/j2w,One of the stranger glitching tools...,http://tomsmith.webfactional.com/notes/AZOPCORP_COM____mite_🔊_229D9CED.png,,
YouTube Filter,Video,Glitch,http://animalswithinanimals.com/generator/youtubefilter.html,Enter a Youtube URL and play with the sliders...,http://tomsmith.webfactional.com/notes/HTML5_youtube_filter_by_stAllio__🔊_229DA0E4.png,,
Voice Changer,Audio,Toy,https://voicechanger.io/,Chipmunk or Dalek?,http://tomsmith.webfactional.com/notes/Voice_Changer_-_Online___Free_229DA164.png,,
Osmosis Drone Generator,Audio,Wellbeing,https://mynoise.net/NoiseMachines/osmosisDroneGenerator.php,Create pleasant background sounds,http://tomsmith.webfactional.com/notes/Osmosis_•_Relaxing_Sound_Generator_🔊_229DBA89.png,,
Defonic,Audio,Wellbeing,https://defonic.com/,Create immersive soundscapes,http://tomsmith.webfactional.com/notes/Defonic___A_fabulous_ambient_noise_generator_🔊_229DBB77.png,,
Noises Online,Audio,Wellbeing,https://noises.online/,"Create immersive soundscapes, free wav download",http://tomsmith.webfactional.com/notes/Online_Background_Noises_•_Relaxing_Sounds_•_Noise_Masking_🔊_229DBD38.png,,
Probe Audio Tool,Audio,Editing,https://probe.audiotool.com/,Edit wavs etc.,http://tomsmith.webfactional.com/notes/Probe_-_Free_Online_Audio_Sample_Editor_Right_In_Your_Browser_by_Audiotool_🔊_229DBE03.png,,
Headliner,Video,Story,https://www.headliner.app/,Really interesting online video maker. I made one from an article I'd written.,http://tomsmith.webfactional.com/notes/Headliner_229E884F.png,,
Renderforest,Video,Animation,https://www.renderforest.com/,"Create animated explainer videos, animations and more easily. I made this movie ident in a few seconds https://www.youtube.com/watch?v=DY_W4hI3vvA&feature=youtu.be",http://tomsmith.webfactional.com/notes/Explainer_Video_Toolkit_229E88AA.png,1,
Animaker,Video,Animation,https://www.animaker.com,"Create animated explainer videos, whiteboard videos and dynamic typography videos.",http://tomsmith.webfactional.com/notes/untitled_project_229E8AEB.png,,
Motionden,Video,Typography,https://motionden.com,Create animated typography videos,http://tomsmith.webfactional.com/notes/Background_and_MotionDen_Editor_229E9542.png,,
WolframTones,Audio,AI,http://tones.wolfram.com,Generates music from parameters,http://tomsmith.webfactional.com/notes/WolframTones_229FEC6C.png,,
Noisli,Audio,Ambient,https://www.noisli.com/,Generates ambient sounds for work and relaxation,http://tomsmith.webfactional.com/notes/Noisli_-_Improve_Focus_and_Boost_Productivity_with_Background_Noise_🔊_229FF06A.png,,
Girl Talk In A Box,Audio,Toy,http://girltalkinabox.playlistmachinery.com,This strange tool lets you load and control a music track,http://tomsmith.webfactional.com/notes/Girl_Talk_in_a_Box_for_Smells_Like_Teen_Spirit_by_Nirvana_🔊_229FFD3F.png,,
Reedsy,Writing,Prompt,https://blog.reedsy.com/creative-writing-prompts/,Thousands of writing prompts. Try one.,http://tomsmith.webfactional.com/notes/500__Creative_Writing_Prompts_To_Inspire_You_Right_Now_22A01EF8.png,,
Lumen5,Video,Writing,https://lumen5.com,Turns your web pages or articles into video. Amazing,http://tomsmith.webfactional.com/notes/Create_a_Video___Lumen5_22A02191.png,,
Hypothesis,Annotation,Writing,https://web.hypothes.is/,"Annotate the web, share your findings.",http://tomsmith.webfactional.com/notes/Hypothesis_–_The_Internet__peer_reviewed__22A02A94.png,,
Portent Idea Generator,Writing,Prompt,https://www.portent.com/tools,Helps you create clickbait titles,http://tomsmith.webfactional.com/notes/Portent_s_Content_Idea_Generator_-_Instant_Blog_Topic_Inspiration_22A02CA2.png,,
Ilys,Writing,Prompt,https://www.ilys.com,"Unusual word counting ""make you write"" app. ",http://tomsmith.webfactional.com/notes/ilys_2379A579.png,,
Power Thesaurus,Writing ,Prompt,https://www.powerthesaurus.org,A very lovely thesaurus. Go try it.,http://tomsmith.webfactional.com/notes/4_Disappointment_definitions_-_disappointment_meaning___example_sentences_22A02E04.png,,
EasyPrompter,Writing,Video,https://www.easyprompter.com,"If you are speaking to camera, this may help.",http://tomsmith.webfactional.com/notes/EasyPrompter_22A04E34.png,,
Auto Complete Tune,Audio,AI,https://codepen.io/teropa/full/gvwwZL/,"Play the piano, hold down a note, it extends your melody",http://tomsmith.webfactional.com/notes/Neural_Melody_Autocompletion_22A0964D.png,,
Latent Cycles,Audio,Generative,https://codepen.io/teropa/full/rdoPbG/,"Start the beats and beeps, let it play on.",http://tomsmith.webfactional.com/notes/Latent_Cycles_🔊_22A096D2.png,,
WebModular,Audio,Toy,https://www.g200kg.com/docs/webmodular/?p=0A1H2G3A5H80BHE1HHK2L3N6TCWIXIY4eFfC_OF00CPo000020COo00RbZVno00ZU0VIo00ZZ00o000000o000I00S000220QP0000&m=t145l16a%3Eceg%3Ec%3Cea%3Ecefec%3Ca%3Ec%3Cag,"Old skool synthesis, pulling out and plugging in wires. Interesting because you can type notes using strange notation.",http://tomsmith.webfactional.com/notes/-_WebModular___g200kg_Music___Software_22A09AD0.png,,
Radiooo,Audio,Toy,http://radiooooo.com/,"Listen to radio from different countries, from different decades.",http://tomsmith.webfactional.com/notes/Radiooooo_com_-_The_Musical_Time_Machine_🔊_22A09B7D.png,,
Google Tour Creator,VR,Maps,https://vr.google.com/tourcreator/,Create VR tours from Google Street View or 3D images.,http://tomsmith.webfactional.com/notes/Tour_Creator_and_p5_js_Web_Editor___Random_Cows_-_Vivaldi_22AA781C.png,,
Cables,Image,Visualisation,https://cables.gl,Shaders are the code that runs complex computer graphics. Cables is a visual language to create shaders.,http://tomsmith.webfactional.com/notes/Testeroo_22A2FA3C.png,,
Sound Maker,Audio,Toy,https://experiments.withgoogle.com/ai/sound-maker/view/,A keyboard that let's you create sounds halfway between a cat and a trombone,http://tomsmith.webfactional.com/notes/NSynth__Sound_Maker_22A30096.png,,
Magic Sketchpad,Image,AI,https://magic-sketchpad.glitch.me/,"Start drawing, AI finishes it",http://tomsmith.webfactional.com/notes/Magic_Sketchpad_22A300F9.png,,
Musical Algorithms,Audio,AI,http://musicalgorithms.org/3.2/#welcome,Generate midi from data,http://tomsmith.webfactional.com/notes/Music_Algorithms_22A68AB9.png,,
Faust,Audio,Coding,https://faust.grame.fr/,Fairly complex programming for Digital Signal Processing (making crazy sounds),http://tomsmith.webfactional.com/notes/Faust_Programming_Language_22A9099D.png,,
Faust Playground,Audio,Coding,https://faust.grame.fr/tools/playground/index.html,Start audio processing with a flow diagram like language in the browser. OMG! Amazing!,http://tomsmith.webfactional.com/notes/FaustPlayGround_🔊_22A9246B.png,,
FlipGrid,Video,Teaching,https://flipgrid.com/,"A teaching and discussion tool, but one with a focus on short video conversations",http://tomsmith.webfactional.com/notes/Flipgrid_-_Topic_Details_22A9AED4.png,,
p5js Editor,Coding,p5js,https://editor.p5js.org/,Online editing of Processing projects,http://tomsmith.webfactional.com/notes/p5_js_Web_Editor___Kaput_coast_22AA77CC.png,,
DataIllustrator,Visualisation,Data,http://www.data-illustrator.com/index.php,Create visualisations without coding,http://tomsmith.webfactional.com/notes/Gallery_22AAA368.png,,
Whale Synth,Audio,Toy,http://www.whalesynth.com/,Make unusual sounds,http://tomsmith.webfactional.com/notes/WhaleSynth_-_A_Unique_Musical_Experience_22AADA68.png,,
TypeDrummer,Audio ,Toy,http://typedrummer.com/0l3tdl,,http://tomsmith.webfactional.com/notes/typedrummer_🔊_22AADD61.png,,
ScribbleAudio,Audio,Toy,http://scribble.audio,,http://tomsmith.webfactional.com/notes/scribble_audio_🔊_22AADDB0.png,,
MelodyMixer,Audio,AI,https://melodymixer.withgoogle.com/ai/melody-mixer/view/,Pull two melodies apart and see what AI generates for you.,http://tomsmith.webfactional.com/notes/Melody_Mixer_22AAE43B.png,,
Write With Transformer,Writing,Story,https://transformer.huggingface.co/,Start writing and let the unicorn finish your sentences by hitting tab.,http://tomsmith.webfactional.com/notes/Write_With_Transformer_22B42C49.png,,
Poetry Generator,Writing,Story,http://michaelpaulukonis.github.io/poetrygen/jGnoetry/index.html,Poetry Generator with Markov Chains,http://tomsmith.webfactional.com/notes/jGnoetry_22B7C25E.png,,
GAUGAN,Image,AI,https://www.nvidia.com/en-us/research/ai-playground/?ncid=so-twi-nz-92489,AI drawing demo,http://tomsmith.webfactional.com/notes/18_234_114_149_22B7C7C9.png,,
Image Texter,Image,Writing,https://michaelpaulukonis.github.io/imagetexter.p5/,Make text into an image,http://tomsmith.webfactional.com/notes/imagetexter_22B7CD22.png,,
Noisify,Image,Toy,https://generated.space/sketch/noisify/,"Add an image, it ""noises"" it up.",http://tomsmith.webfactional.com/notes/Noisify_22B8E671.png,,
Doodle Place,Toy,Image,https://glitch.com/~doodle-place,A 3D world in which your doodles are automatically animated,http://tomsmith.webfactional.com/notes/doodle-place_22B8EC0B.png,,
Erasure Poetry Tool,Writing,Prompt,http://erasures.wavepoetry.com/erasures.php?sourceid=14,"Using pre-selected texts, create blackout poetry.",http://tomsmith.webfactional.com/notes/Erasures_22BA36B0.png,,
The N+7 Machine,Writing,Prompt,http://www.spoonbill.org/n+7/,Mashup your text with the N+7 method,http://tomsmith.webfactional.com/notes/N_7__generated_text_22C13F62.png,,
JSON Editor,Coding,Javascript,https://jsoneditoronline.org/,View JSON data as a tree. Very useful.,http://tomsmith.webfactional.com/notes/JSON_Editor_Online_-_view__edit_and_format_JSON_online_22C4BF12.png,,
Synaesthesia,Audio,AI,https://wheelibin.github.io/synaesthesia/LOVE,Generate fantastic drones,http://tomsmith.webfactional.com/notes/Synaesthesia_🔊_22C6826C.png,,
vGamelan,Audio,Toy,https://celanajaya.github.io/vGamelan/,Numbers generate algorithmic music.,http://tomsmith.webfactional.com/notes/vGamelan_22C68A85.png,,
Moolody,Audio ,Toy,http://keyuguo.net/MoolodyWebVersion/,,http://tomsmith.webfactional.com/notes/Moolody_22C68B4A.png,,
Word Tree,Writing,Visualisation,https://www.jasondavies.com/wordtree/?source=blowin.in.the.wind.txt&prefix=How,"Branching concordance, discover the structures in text.",http://tomsmith.webfactional.com/notes/Word_Tree_22CB849F.png,,
IdFlood,Coding,Visual,http://idflood.github.io/ThreeNodes.js/index_optimized.html#example/geometry_and_material1.json,Visual creative coding,http://tomsmith.webfactional.com/notes/ThreeNodes_js__0_2_0_22CF4FF3.png,,
Workbench,Coding,Visual,https://edu.workbencheducation.com,Visual coding of connected devices (including Google Sheets),http://tomsmith.webfactional.com/notes/Programming_22CF5709.png,,
Calligraphr,Font,Design,https://www.calligraphr.com/en/quicktest/,"Print off a template, write on it, scan it in, create your own font.",http://tomsmith.webfactional.com/notes/Calligraphr_-_Quick_Test_22CFBC6F.png,,
SpaceTypeGenerator,Design,Font,http://spacetypegenerator.com/,"Alter parameters, create textual animations",http://tomsmith.webfactional.com/notes/SPACE_TYPE_GENERATOR_22CFC637.png,,
Groove Pizza,Audio,Toy,https://apps.musedlab.org/groovepizza/,Create crazy beats with Groove Pizza,http://tomsmith.webfactional.com/notes/Groove_Pizza_🔊_22D3DCF8.png,,
Eternal,Audio,Toy,https://eternal.robcheung.com/,Like Max/MSP in the browser. Amazing. Confusing.,http://tomsmith.webfactional.com/notes/👾_🔊_22D4DFB3.png,,
Components AI,Visual,Toy,https://components.ai/,Create your own textual CSS designs.,http://tomsmith.webfactional.com/notes/Background_and_Components_AI_—_A_new_way_to_explore_generative_design_systems_22E9A3F5.png,,
Spiral Keyboard,Audio,Toy,http://spiral.qet.me/,A spiral piano keyboard,http://tomsmith.webfactional.com/notes/Spiral_musical_keyboard_22F9B266.png,,
Clarallel,Audio,Toy,http://www.clarallel.com/,This tool takes short texts and turns them into melodies,http://tomsmith.webfactional.com/notes/Clarallel_22FAB3DA.png,,
In-G,Audio,Toy,https://in-g.herokuapp.com/,"Interesting sonification example that takes Github upload data and turns it into ""music"". See <a href=""https://medium.com/@jarednielsen/data-sonification-and-web-scraping-with-node-js-and-tone-js-eaf2cd35a000"">this article</a>.",http://tomsmith.webfactional.com/notes/https___in-g_herokuapp_com_-_Vivaldi_22FC5303.png,,
TwoTone,Audio,Sonification,https://app.twotone.io/,Turn your spreadsheet into music. Interesting.,http://tomsmith.webfactional.com/notes/TwoTone_230D69E5.png,,
Clipchamp,Video,Editing,https://app.clipchamp.com/,Brilliant online video editor. Love it.,http://tomsmith.webfactional.com/notes/Clipchamp_Create_2334EA20.png,,
AudioSauna,Audio,Creating,http://www.audiosauna.com/studio/,Interesting synth and sampler app. ,http://tomsmith.webfactional.com/notes/AudioSauna_-_Online_Music_Software_23350CC9.png,,
DroneFX,Audio,Creating,https://www.dronefx.com/projects/dronefx/,Requires Flash. Really interesting drone/soundtrack generator... Creating a moody filmtrack? This might be useful.,http://tomsmith.webfactional.com/notes/Meditation_Music_🔊_23350FB4.png,,
BandLab,Audio,Creating,https://www.bandlab.com/,"Oh my word! Amazing. A full audio workstation that works in the browser, on Android and iOS.",http://tomsmith.webfactional.com/notes/Untitled_-_Mix_Editor_233B85C0.png,,
GSN Composer,Image,Coding,https://www.gsn-lib.org,Visual node-based graphics editor,http://tomsmith.webfactional.com/notes/GSN_Composer_ _ _Online_Node-based_Visual_Programming_23671443.png,,
Polychrome,Image,Story,https://michaelpaulukonis.github.io/polychrome.p5/,"""Paint"" with text, creating pyschedelic textures.",http://michaelpaulukonis.github.io/_nuxt/7ea1c983bb38c1e96b9e8cd1e3980097-928.jpg,,
FXFive,Audio,Story,https://fxive.com/app/main-panel/Mammals.html,Alter all the parameters to create your own sound effects,http://tomsmith.webfactional.com/notes/Mammals_236ED25F.png,,
MotifN,Coding,Audio,https://www.motifn.com,Really Interesting Javascript-based live-coding music site.,http://tomsmith.webfactional.com/notes/Motifn_23800DB9.png,,
Plotto,Writing,Story,https://garykac.github.io/plotto/plotto-mf.html,"Published in 1928, a ""A New Method of Plot Suggestion for Writers of Creative Fiction"".  ",http://tomsmith.webfactional.com/notes/Plotto_23801203.png,,
Episode,Writing,Story,https://www.episodeinteractive.com,Interactive fiction platform. Not tried this yet. ,http://tomsmith.webfactional.com/notes/PLAY_THE_TUTORIAL_Episode_1_238018D5.png,,
Medieval Fantasy City Generator,Maps,Toy,https://watabou.itch.io/medieval-fantasy-city-generator,Create maps for your story,http://tomsmith.webfactional.com/notes/Medieval_Fantasy_City_Generator_by_watabou_23818AD9.png,,
Meaning Generator,Prompt,Toy,http://meaning-generator.com/,Random concepts to help with creativity. Amazing what you can make with just three words,http://tomsmith.webfactional.com/notes/The_Meaning_Generator_23818DED.png,,
Beautiful Audio Editor,Audio,Editing,https://beautifulaudioeditor.appspot.com/,"Interesting audio editor, that integrates tightly with Google Drive.",http://tomsmith.webfactional.com/notes/Beautiful_Audio_Editor_23840E01.png,,
imagevenue,Image,Coding,http://www.imagevenue.com/hostflash.php,Free image hosting. Useful if you're using Twine or similar.,http://tomsmith.webfactional.com/notes/ImageVenue_com_-_Image_Hosting_and_Image_Upload_23846F24.png,,
Palladio,Visualisation,Data,https://hdlab.stanford.edu/palladio/,Node network diagram builder.,http://hdlab.stanford.edu/palladio/assets/graph-view.jpg,,
Moises,Audio,Editing,https://moises.ai/,Extract backing tracks from songs,http://tomsmith.webfactional.com/notes/Moises_ai_23858CDC.png,,
Key Chords,Audio,Writing,https://www.drumbot.com/projects/key_chords/,Discover new chord progressions. Requires Flash.,http://tomsmith.webfactional.com/notes/Key_Chords_🔊_23952A08.png,,
Neural Beatbox,Audio,Editing,https://codepen.io/naotokui/pen/NBzJMW,"Record some audio, analyze then generate rthyms ",http://tomsmith.webfactional.com/notes/Neural_Beatbox__alpha__🔊_23952B7C.png,,
Splitter,Audio,Editing,http://www.splitter.ai/,Split vocals from a music track.,http://tomsmith.webfactional.com/notes/Splitter_ai_-_AI_powered_audio_extraction_23959BCE.png,,
The Vistorian,Visualisation,Data,https://networkcube.github.io/networkcube/web/index.html,"Incredible ""end-user"" tool for visualistion network graphs.",http://tomsmith.webfactional.com/notes/The_Vistorian_239E6A5C.png,,
Lynks,Visualisation,Data,https://lynksoft.com/,Network graph visualisation tool,http://tomsmith.webfactional.com/notes/Lynksoft_—_Create_Explore_Share_239E6C1B.png,,
Graph Commons,Visualation,Data,https://graphcommons.com/,Easy to use network graph visualisation tool,http://tomsmith.webfactional.com/notes/Graph_Commons_–_Map_networks_together_239E6F88.png,,
Geo Poetry Generator,Writing,Prompt,https://satellitestud.io/osm-haiku/app/#10/54.1202/-1.1948,Find your lat/lng here: https://www.latlong.net/ then have it make a poem for you.,http://tomsmith.webfactional.com/notes/OpenStreetMap_Haiku_23A16211.png,,
RiffShare,Audio,Toy,https://surikov.github.io/RiffShareAndroid/app/src/main/assets/index.html,Very strange sound creator.,http://tomsmith.webfactional.com/notes/Desktop_RiffShare_🔊_23AE0CE5.png,,
Ascii Art Creator,Text,Image,https://asc-paint.glitch.me/,,http://tomsmith.webfactional.com/notes/ASC_PAINT_23AE2B0A.png,,
Fridge Poetry,Writing,Story,https://codepen.io/Daniel_Silber-Baker/embed/egMGyb/?height=908&theme-id=26830&default-tab=result&embed-version=2,Drag words to make your own poem,http://tomsmith.webfactional.com/notes/CodePen_Embed_-_Refrigerator_Magnet_Poetry_23BB83D0.png,,
Meme Generator,Writing,Story,https://codepen.io/ninivert/full/BpLKRx,"Design your own meme, AND get access to the code that make it",http://tomsmith.webfactional.com/notes/Meme_Generator_23BB8438.png,,
Talk To Transformer,Writing,Story,https://talktotransformer.com/,See how a modern neural network completes your text. Type a custom snippet and see what is generated,http://tomsmith.webfactional.com/notes/Talk_to_Transformer_23C4C9CF.png,,
Webpage Screenshot Free,Image,Editing,https://chrome.google.com/webstore/detail/webpage-screenshot-free/fhhdanggdhifipioellpjbeogphfkabl?hl=en,An handy extension for the Chrome browser that lets you screenshot the page and save it with cropping or full page.,https://lh3.googleusercontent.com/UuiPNnslBJ2jyb1eRzLRgsRlt67KEwjmiYqDcD9sMOBuBixMi3t2h6Wcd5Ds67FrLrVyaxYGOaA=w640-h400-e365,,
FlipAnim,Animation,Image,https://flipanim.com/,"Lovely little flipbook animation maker (slight shame about the gridlines. See also Pencil, the desktop app)",http://tomsmith.webfactional.com/notes/for_RP_s_contest_-_FlipAnim_23D9B89C.png,,
Toonator,Animation,Image,https://toonator.com/,"Nice flipbook animation tool, but NO EXPORT option. Also requires Flash. ",http://tomsmith.webfactional.com/notes/Toonator_com_-_Draw_animation_online__23D9BE07.png,,
Anchor Podcast,Audio,Story,https://anchor.fm/,Easy way to publish podcasts,http://tomsmith.webfactional.com/notes/Anchor_-_The_easiest_way_to_make_a_podcast_23F6CF80.png,,
